empties	side	book_wl	book_ssM	result	nodes	seconds	board
18	w	0.0123	0.04	WIN	35473	0.1	.X.XX..XOOOX...X.OXXX.XXXOXOXXOOOOOXOO....OO.....
18	w	0.9896	3.86	WIN	82806	0.2	.X.....OOXXXOXXXOXOX...OXOOO..OOXX..XOXX...OOOX..
18	w	0.9951	2.13	WIN	25354	0.1	....XO.OX.OXOX.OOOOX..XOXXXX.XXOXX...XOOOX....O.O
19	b	0.0088	0.03	WIN	1164439	1.4	.X.OX..XOOOX..OX.OXXX.XXXOXO.XOOOOOXOX.....O.....
19	w	0.0061	0.07	WIN	369	0.0	....OO.O...XOXOOOOOXXOXOXXX.OXX..X.X.X.XO..X.XO..
20	b	-0.0113	0.00	WIN	15274	0.0	.X.X.X.XOXXXOOOO.XOO..OOXO..XXXOO....XXOO.....X..
20	b	-0.9586	-9.24	WIN	479869	0.8	....X.....X.XO.O.XXO.OXXXOOO.OOOXO.O.OXXXO.XXO...
20	b	0.0035	0.05	WIN	16700	0.1	.O.OXX.XOOX.X..XOOXX..XXXOXO.XOOOOXXOO...........
20	b	0.0224	0.02	WIN	1987	0.0	.......OO.OXO.OX.OXO.XXXXOOX.OXOXX..XOOX.X....OX.
20	w	-0.0149	0.02	WIN	6665	0.0	.X...X.OOXXXO..OOXOO.XXOXO...OXOO..XOXXO...X..X..
20	w	0.0133	0.07	WIN	3491071	3.2	...XO..XOO..OO.XOOOX..XXXOX..X.OXX.XOOOX...O.XX..
22	b	-0.0086	0.00	WIN	25	0.0	.......OOO.OOOOXOOOOXXXXXOXX.X..XX.X.XX....X.....
22	b	0.0152	0.03	WIN	32	0.0	..XOXX..XOOOX...OOOX.O.OXXXX.OXOOX.OXX...........
22	b	0.9778	34.58	WIN	36210	0.1	.OX..O.XOX..XO.XOOOO..XXXOXO.O.OXX..O.OX......X..
22	w	-0.0210	0.00	WIN	1216	0.0	O......XO..O.O.XOOOOX.XXXOXXXXOOXX.X.XO....X.....
22	w	-0.0441	-0.06	WIN	140	0.0	.X......OXOOX..XXOXXXXXOXXX.OOOOOXX.....OO.......
22	w	0.0330	0.03	WIN	1979966	2.2	.O.XOO.XXO.OXX..OOOX.OOOXX..XOXO.X.XXX...........
22	w	0.9801	3.62	WIN	93691710	54.9	..X......XOOOX.XXO....XOXXX..OOOOX.OX..XOX..X.OO.
22	w	0.9815	3.82	WIN	147584099	83.2	.OXO....X.OXXXXXOOXO.OOOXOO.OXXXX..XO............
23	b	0.0227	0.08	WIN	153776	0.3	...X...OXX.X...OOX...O.OXO...XOOXX.OX.OOX..O.OXX.
23	w	0.0023	0.01	WIN	6366986	6.6	...O.X...XOOOX.XXOX...XOXXXXXOOOOX.....OOX.......
24	b	-0.9772	-37.39	WIN	2269365	3.0	.OO.O..X.XOO...XXOXO.XOOXX...OX.X...OXX....XO....
24	b	0.0009	0.03	WIN	59	0.0	.....X....XXOOXXXXO.....XO..XXXOO..O.XXO...XOOO..
24	b	0.0096	0.11	WIN	443997	0.7	.......XXXX...OOXOO...OOXXX...OXOX..XOOOX....O.O.
24	w	-0.0041	0.00	WIN	14143	0.0	.XXO....XOO..O.XOOO....XXO.O..XOXO...X.XXO.....XX
24	w	-0.0427	-0.09	WIN	342589	0.6	..X..X....XXXO...XOO..XOXO...XXOO..OXOO....XXO.O.
24	w	0.0194	0.03	WIN	1527906	1.9	.......XXX.OX.XOXO...OOOXXX...OOOX..XO.OXX.....O.
25	b	-0.0319	-0.01	WIN	4169	0.0	.XOO...OXXOO..XOOXO...X.XO.....XOO....XXO.....XX.
25	b	-0.9866	-37.11	WIN	40166	0.2	.....X..XXXXO..XOXO...OOXO..OXXOO....XXO...O.O...
25	b	0.0011	0.05	WIN	5287217	5.8	...........XOO.OOOOXO.XOXXXX.XXOX.O..XOOX........
25	b	0.0062	0.04	WIN	106230490	59.1	.....XX...XXXO...XOO..OOXO...XXOO.O.XOO....XXO...
25	w	0.9651	2.15	WIN	1730	0.0	...........XXO.XOOXO.XXXXOO..XOOO...XO.OX..X.X...
26	b	-0.0025	0.04	WIN	78802	0.3	.......O....OX.OOOOXOOXOXXX..XXOOX....X.OX.......
26	w	0.0104	0.01	WIN	2715754	3.3	.........XOXX....XO.X..XXOOO..XOXX..XOOOX..O...O.
26	w	0.9986	2.24	WIN	831206	1.4	...X.....XOX.X...OXXO.XXXOOO.XOOO..XOO....X......
