empties	side	book_wl	book_ssM	result	nodes	seconds	board
24	b	0.0009	0.03	WIN	49	0.0	.....X....XXOOXXXXO.....XO..XXXOO..O.XXO...XOOO..
24	b	0.0096	0.11	WIN	230502	0.5	.......XXXX...OOXOO...OOXXX...OXOX..XOOOX....O.O.
24	w	-0.0041	0.00	WIN	20567	0.1	.XXO....XOO..O.XOOO....XXO.O..XOXO...X.XXO.....XX
24	w	-0.0427	-0.09	WIN	343381	0.7	..X..X....XXXO...XOO..XOXO...XXOO..OXOO....XXO.O.
24	w	0.0194	0.03	WIN	1867789	2.0	.......XXX.OX.XOXO...OOOXXX...OOOX..XO.OXX.....O.
25	b	-0.0319	-0.01	WIN	3930	0.0	.XOO...OXXOO..XOOXO...X.XO.....XOO....XXO.....XX.
25	b	-0.9866	-37.11	WIN	43062	0.1	.....X..XXXXO..XOXO...OOXO..OXXOO....XXO...O.O...
25	b	0.0011	0.05	WIN	7169108	7.6	...........XOO.OOOOXO.XOXXXX.XXOX.O..XOOX........
25	b	0.0062	0.04	WIN	90965382	52.2	.....XX...XXXO...XOO..OOXO...XXOO.O.XOO....XXO...
25	w	0.9651	2.15	WIN	4602	0.0	...........XXO.XOOXO.XXXXOO..XOOO...XO.OX..X.X...
26	b	-0.0025	0.04	WIN	76198	0.3	.......O....OX.OOOOXOOXOXXX..XXOOX....X.OX.......
26	w	0.0104	0.01	WIN	2679132	3.5	.........XOXX....XO.X..XXOOO..XOXX..XOOOX..O...O.
26	w	0.9986	2.24	WIN	669236	1.2	...X.....XOX.X...OXXO.XXXOOO.XOOO..XOO....X......
