empties	side	book_wl	book_ssM	result	nodes	seconds	board
22	w	0.0330	0.03	WIN	3378961	3.3	.O.XOO.XXO.OXX..OOOX.OOOXX..XOXO.X.XXX...........
22	w	0.9801	3.62	WIN	96785735	52.6	..X......XOOOX.XXO....XOXXX..OOOOX.OX..XOX..X.OO.
22	w	0.9815	3.82	WIN	194123450	92.4	.OXO....X.OXXXXXOOXO.OOOXOO.OXXXX..XO............
23	b	0.0227	0.08	WIN	188393	0.4	...X...OXX.X...OOX...O.OXO...XOOXX.OX.OOX..O.OXX.
23	w	0.0023	0.01	WIN	4488604	4.3	...O.X...XOOOX.XXOX...XOXXXXXOOOOX.....OOX.......
24	b	-0.9772	-37.39	WIN	2252470	2.7	.OO.O..X.XOO...XXOXO.XOOXX...OX.X...OXX....XO....
24	b	0.0009	0.03	WIN	47	0.0	.....X....XXOOXXXXO.....XO..XXXOO..O.XXO...XOOO..
24	b	0.0096	0.11	WIN	440313	0.7	.......XXXX...OOXOO...OOXXX...OXOX..XOOOX....O.O.
24	w	-0.0041	0.00	WIN	15900	0.1	.XXO....XOO..O.XOOO....XXO.O..XOXO...X.XXO.....XX
24	w	-0.0427	-0.09	WIN	1604966	2.2	..X..X....XXXO...XOO..XOXO...XXOO..OXOO....XXO.O.
24	w	0.0194	0.03	WIN	2332449	2.4	.......XXX.OX.XOXO...OOOXXX...OOOX..XO.OXX.....O.
25	b	-0.0319	-0.01	WIN	4258	0.0	.XOO...OXXOO..XOOXO...X.XO.....XOO....XXO.....XX.
25	b	-0.9866	-37.11	WIN	39280	0.2	.....X..XXXXO..XOXO...OOXO..OXXOO....XXO...O.O...
25	b	0.0011	0.05	WIN	6577456	6.5	...........XOO.OOOOXO.XOXXXX.XXOX.O..XOOX........
25	b	0.0062	0.04	WIN	97139005	58.1	.....XX...XXXO...XOO..OOXO...XXOO.O.XOO....XXO...
25	w	0.9651	2.15	WIN	1583	0.0	...........XXO.XOOXO.XXXXOO..XOOO...XO.OX..X.X...
26	b	-0.0025	0.04	WIN	84224	0.3	.......O....OX.OOOOXOOXOXXX..XXOOX....X.OX.......
26	w	0.0104	0.01	WIN	2365400	3.2	.........XOXX....XO.X..XXOOO..XOXX..XOOOX..O...O.
26	w	0.9986	2.24	WIN	818131	1.3	...X.....XOX.X...OXXO.XXXOOO.XOOO..XOO....X......
