empties	side	book_wl	book_ssM	result	nodes	seconds	board
20	w	-0.0149	0.02	WIN	8375	0.2	.X...X.OOXXXO..OOXOO.XXOXO...OXOO..XOXXO...X..X..
20	w	0.0133	0.07	WIN	4354804	4.2	...XO..XOO..OO.XOOOX..XXXOX..X.OXX.XOOOX...O.XX..
22	b	-0.0086	0.00	WIN	12	0.2	.......OOO.OOOOXOOOOXXXXXOXX.X..XX.X.XX....X.....
22	b	0.0152	0.03	WIN	21	0.2	..XOXX..XOOOX...OOOX.O.OXXXX.OXOOX.OXX...........
22	b	0.9778	34.58	WIN	62436	0.3	.OX..O.XOX..XO.XOOOO..XXXOXO.O.OXX..O.OX......X..
22	w	-0.0210	0.00	WIN	1064	0.2	O......XO..O.O.XOOOOX.XXXOXXXXOOXX.X.XO....X.....
22	w	-0.0441	-0.06	WIN	118	0.2	.X......OXOOX..XXOXXXXXOXXX.OOOOOXX.....OO.......
22	w	0.0330	0.03	WIN	4124977	3.6	.O.XOO.XXO.OXX..OOOX.OOOXX..XOXO.X.XXX...........
22	w	0.9801	3.62	WIN	83826716	49.2	..X......XOOOX.XXO....XOXXX..OOOOX.OX..XOX..X.OO.
22	w	0.9815	3.82	WIN	196513457	95.2	.OXO....X.OXXXXXOOXO.OOOXOO.OXXXX..XO............
23	b	0.0227	0.08	WIN	743289	1.3	...X...OXX.X...OOX...O.OXO...XOOXX.OX.OOX..O.OXX.
23	w	0.0023	0.01	WIN	4854760	5.8	...O.X...XOOOX.XXOX...XOXXXXXOOOOX.....OOX.......
24	b	-0.9772	-37.39	WIN	2362984	3.2	.OO.O..X.XOO...XXOXO.XOOXX...OX.X...OXX....XO....
24	b	0.0009	0.03	WIN	22	0.2	.....X....XXOOXXXXO.....XO..XXXOO..O.XXO...XOOO..
24	b	0.0096	0.11	WIN	723180	1.1	.......XXXX...OOXOO...OOXXX...OXOX..XOOOX....O.O.
24	w	-0.0041	0.00	WIN	17610	0.3	.XXO....XOO..O.XOOO....XXO.O..XOXO...X.XXO.....XX
24	w	-0.0427	-0.09	WIN	405392	1.0	..X..X....XXXO...XOO..XOXO...XXOO..OXOO....XXO.O.
24	w	0.0194	0.03	WIN	1852993	2.3	.......XXX.OX.XOXO...OOOXXX...OOOX..XO.OXX.....O.
25	b	-0.0319	-0.01	WIN	3573	0.3	.XOO...OXXOO..XOOXO...X.XO.....XOO....XXO.....XX.
25	b	-0.9866	-37.11	WIN	49618	0.4	.....X..XXXXO..XOXO...OOXO..OXXOO....XXO...O.O...
25	b	0.0011	0.05	WIN	8702702	8.9	...........XOO.OOOOXO.XOXXXX.XXOX.O..XOOX........
25	b	0.0062	0.04	WIN	33588631	25.8	.....XX...XXXO...XOO..OOXO...XXOO.O.XOO....XXO...
25	w	0.9651	2.15	WIN	984	0.2	...........XXO.XOOXO.XXXXOO..XOOO...XO.OX..X.X...
26	b	-0.0025	0.04	WIN	101050	0.5	.......O....OX.OOOOXOOXOXXX..XXOOX....X.OX.......
26	w	0.0104	0.01	WIN	3636077	4.6	.........XOXX....XO.X..XXOOO..XOXX..XOOOX..O...O.
26	w	0.9986	2.24	WIN	813005	1.6	...X.....XOX.X...OXXO.XXXOOO.XOOO..XOO....X......
